"Campaign Name","Business Objective","Target Audience","Key Message","Channels","Budget","Timeline","Success Metrics","Constraints / Brand Notes"
"Orbit Connect Q1 2026 - Retention Sprint","Reduce monthly churn from 7.6% to 2.8%","our customer base","Thank you for being a customer - here's something special.","performance marketing","Limited budget","Mar 4, 2026 - 2 week flight","Hit 5,050 sign-ups","Use approved product photography only; lifestyle imagery requires brand review."
"GlideFi Q4 2026 - Trial Conversion Push","Convert 5,641 active trial users to paid plans","Active app users with 30+ day inactivity, APAC","Your trial ends soon. Unlock the full Vaulted experience.","Paid Social (Meta), Paid Search, Influencer","$97,000 excl. production","Jul 18, 2027 - 6 week flight","Trial-to-paid conversion: baseline 1.9%, target 14.2%, over 30 days.","All claims must be reviewed by Compliance and Legal before publication. All copy must use inclusive language per brand DEI guidelines."
"Pulse Primary 2026 - Win-Back","Reactivate 14% of customers dormant for 6+ months","Adults aged 25-44 with chronic condition flags, EMEA","A lot has changed. Come back and see what's new.","Direct Mail, Paid Search, Email","TBD","rolling","Reactivation rate: baseline 0.9%, target 12.7%, by end of quarter.","HIPAA compliance required; no PHI in creative or targeting data. EU audiences: GDPR consent required; honor cookie banner state and DSAR within 30 days. Suppress recent purchasers (last 14 days) to prevent post-purchase discount cannibalization. All copy must use inclusive language per brand DEI guidelines."
"CareNova Q2 2027 - Awareness","Lift unaided brand awareness by 10 points","Adults aged 30-54 with chronic condition flags, US","Meet CareNova - a smarter way to save time.","performance marketing","$340,000 (media only)","Jul 13, 2026 - 12 week flight","Aided awareness lift: baseline 48%, target +7 pts, by end of quarter.","FDA fair-balance language required for any branded therapy mention. Hero creative must feature flagship product, not bundled SKUs."
"Stackr 2026 - Trial Conversion Push","Increase trial-to-paid conversion from 9% to 14%","Gig workers aged 45-34 in Nordics tier-1 cities","Ready when you are: pick the plan that fits.","Influencer, Paid Search","$460,000","Feb 26, 2027 - 2 week flight","Trial-to-paid conversion: baseline 1.5%, target 9.8%, by end of quarter.","No misleading earnings or returns language. Maintain accessibility: WCAG 2.1 AA for all digital assets."
"NorthExpo v3 - Awareness","Move the needle on conversions this quarter","Speakers, sponsors, and partner network contacts, Brazil","The brand professionals trust.","email and ads","Per-channel budget missing","Oct 6, 2026 - 2 week flight","Aided awareness lift: baseline 27%, target +10 pts, over the campaign flight.","Adhere to brand voice guidelines v3.2; primary palette only. No animated GIFs in email; static hero only."
"FiberOne - Renewal Drive","Achieve 87% gross renewal rate","Single-line subscribers eligible for family-plan upgrade, Germany (EU coverage)","Renew today and lock in your current rate.","online","$27,000 (media only)","May 5, 2027 - 10 week flight","Gross renewal rate: baseline 81.5%, target 91.0%, by end of quarter.","Adhere to brand voice guidelines v3.2; primary palette only."
"Skyloft Hotels Spring - Event Reg Push","Hit 17% RSVP-to-attend conversion","Loyalty members with 1+ booking in last 24 months, Mexico","GrowthSummit: where the industry connects.","Paid Search, Display, Paid Social (Meta), Connected TV","$27,000","Feb 10, 2026 - 6 week flight","Registrations: target 5,895; show-up rate >= 73%; over 30 days.","Avoid stacking with seasonal sale; cap combined discount at agreed max."
"PageNest v2 - Retention Sprint","Increase engagement and pipeline","Subscribers paused in last 90 days, Benelux (EU coverage)","Thank you for being a customer - here's something special.","paid media","Use available Q-end funds","Apr 4, 2026 - 12 week flight","ROAS target 5.5","No major restrictions noted."
"Pixie Pantry Fall - Seasonal Promo","Drive more revenue from this audience","millennials","Limited time: save big this Black Friday.","Email, Affiliate","Per-channel budget missing","Jan 14, 2027 - 10 week flight","Incremental revenue: target $1,566,791, ROAS >= 7.5, over 60 days.","Localization required for non-English markets; transcreation, not direct translation."
"Northstar Mutual Black Friday - Cross-sell Drive","Increase engagement and pipeline","prospects in target markets","One account, more value.","email and ads","$145,000","Sep 16, 2026 - 6 week flight","Conversion rate target 4.2%","TBD with Legal."
"TerraNomad 2027 - Cross-sell Drive","Cross-sell 18,855 eligible customers","high-value customers","Bundle and save - smarter together.","online","$300,000 total","TBD","Attach rate: baseline 1.9%, target 10.6%, within 90 days post-launch.","Suppress recently booked travelers to avoid post-purchase regret refunds. Maintain accessibility: WCAG 2.1 AA for all digital assets."
"Quanta Strategy 2026 - Seasonal Promo","Drive more revenue from this audience","Founders of pre-Series A startups, India","Our biggest Summer event yet.","PR, Content Syndication, Paid Social (LinkedIn), Email, Webinar","Pending finance approval","summer push","Incremental revenue: target $932,207, ROAS >= 2.3, over the campaign flight.","Do not reference unannounced roadmap items."
"NimbusCRM - Trial Conversion Push","Convert 7,705 active trial users to paid plans","VP/Director of Engineering at companies with 200-2000 employees in Germany (EU coverage)","Don't lose what you've built - upgrade today and keep your momentum.","Webinar, Account-Based Marketing, Content Syndication, Paid Search, Email","TBD","Q3 launch","Conversion rate target 13.7%","UK/EU: lawful basis must be documented; suppress contacts without marketing consent. Localization required for non-English markets; transcreation, not direct translation."
"Helix Advisory - Launch #2","Generate 3,383 qualified sign-ups in the first 60 days","Founders of pre-Series A startups, Mexico","Meet Quanta Strategy: everything you loved, reimagined.","Email, Content Syndication, PR, Webinar","$87,000","Jul 15, 2027 - 8 week flight","Adoption rate: baseline 1.8%, target 16.0%, measured within 90 days post-launch.","All copy must use inclusive language per brand DEI guidelines."
"Sterling Federal Winter - Seasonal Promo","Drive $4,590,435 in incremental revenue during the promo window","Small business banking customers with <$5M annual revenue, Canada","Winter is here - shop the edit.","Programmatic, Direct Mail","$565,000","Jul 10, 2026 - 10 week flight","Incremental revenue: target $160,317, ROAS >= 8.0, by end of quarter.","No targeting on protected class attributes (ECOA/Reg B). CEO and executive quotes require Comms approval. Landing page must load under 2.5s on 4G."
"Orbit Connect - Renewal Drive #3","Renew 5,324 expiring contracts this cycle","Postpaid customers approaching contract end, Mexico (EU coverage)","Stay covered. Stay supported.","Paid Search, Display, Direct Mail","$260,000 incl. agency fees","Nov 22, 2027 - 4 week flight","Gross renewal rate: baseline 81.8%, target 86.3%, within 90 days post-launch.","EU audiences: GDPR consent required; honor cookie banner state and DSAR within 30 days. Hero creative must feature flagship product, not bundled SKUs."
"FiberOne v5 - Renewal Drive","Achieve 86% gross renewal rate","Postpaid customers approaching contract end, APAC (EU coverage)","Stay covered. Stay supported.","Direct Mail, Paid Search, SMS, Display, OOH","$520,000 incl. agency fees","Nov 2, 2026 - 8 week flight","Gross renewal rate: baseline 81.5%, target 90.0%, by end of quarter.","DACH market: double opt-in for email; no purchased lists. CEO and executive quotes require Comms approval. Video assets capped at 15s for social, 30s for CTV."
"DevForge Live v8 - Event Reg Push","Hit 11% RSVP-to-attend conversion","Past attendees of last 2 editions, Singapore (EU coverage)","DevForge Live: where the industry connects.","Organic Social, PR, Paid Social (LinkedIn), Webinar, Email","$29,000","Nov 3, 2027 - 12 week flight","Registrations: target 13,932; show-up rate >= 53%; by end of quarter.","CEO and executive quotes require Comms approval. Landing page must load under 2.5s on 4G."
"GlowCrate v9 - Retention Sprint","Improve 90-day retention by 12 percentage points","Subscribers paused in last 90 days, UK","Thank you for being a customer - here's something special.","Push Notifications, In-app","$120,000 total","Jan 13, 2026 - 2 week flight","Monthly churn: baseline 1.6%, target 1.0%, by end of quarter.","Use approved product photography only; lifestyle imagery requires brand review."
"Voyage&Co Tax Season - Trial Conversion Push","Convert 3,741 active trial users to paid plans","Couples aged 30-70 with HHI $100K+, Mexico (EU coverage)","Don't lose what you've built - upgrade today and keep your momentum.","performance marketing","$58,000 excl. production","this year","Improve CTR vs. last campaign","DACH market: double opt-in for email; no purchased lists. Suppress recently booked travelers to avoid post-purchase regret refunds."
"FiberOne 2026 - Loyalty Boost","Increase loyalty program enrollment by 12%","Prepaid customers aged 40-54 with 6+ months tenure, Japan","Status, perks, and points - on us.","Display, Paid Search, Direct Mail","$470,000","Nov 8, 2027 - 4 week flight","Program enrollment: target +5.7% vs. baseline, over 60 days.","Members-only pricing must remain materially better than public promo. Adhere to brand voice guidelines v3.2; primary palette only. Mobile-first creative required; desktop is secondary."
"Beacon Life v5 - Upsell Wave","Lift ARPU by 36% across the existing book of business","high-value customers","You're getting more from AssureFirst than ever - here's how to get even more.","Direct Mail, Radio, Display","$215,000 incl. agency fees","Jun 16, 2027 - 3 week flight","ARPU lift: baseline $89, target +8.6%, over the campaign flight.","All quotes must include 'subject to underwriting' language. DACH market: double opt-in for email; no purchased lists."
"Cohort Hub Q3 2026 - Launch","Drive 18% adoption of the new release among current customers","Alumni aged 25-45 of partner universities, India","Edulane is here. Get ahead from day one.","Email, Paid Search","$48,000 excl. production","Apr 25, 2027 - 4 week flight","New sign-ups: target 16,317 over 30 days; CPA <= $253.","Outcome claims (placement, salary) must include cohort source citation."
"Coastline Apparel Fall - Launch","Acquire 107,616 new users within the launch window","Gen Z shoppers aged 18-26 in Mexico metros (EU coverage)","Introducing the next generation of Coastline Apparel - faster, smarter, built for your team.","OOH, Display, Influencer, Email, Paid Social (Meta)","$385,000 (media only)","ASAP","New sign-ups: target 6,662 within 90 days post-launch; CPA <= $72.","UK/EU: lawful basis must be documented; suppress contacts without marketing consent. Margin floor 35%; exclude clearance SKUs from promotion. Landing page must load under 2.5s on 4G."
"GlideFi - Cross-sell Drive","Build awareness and momentum","Gig workers aged 25-64 in APAC tier-1 cities (EU coverage)","Bundle and save - smarter together.","social","$105,000 total","Nov 7, 2026 - 10 week flight","Conversion rate target 12.3%","TBD with Legal."
"OakClinic Network v3 - Upsell Wave","Grow the business in the target segment","Adults aged 25-44 with chronic condition flags, UK","You're getting more from Wellpath than ever - here's how to get even more.","Email, Paid Search, Direct Mail, PR, Display","$105,000 excl. production","TBD","Improve CTR vs. last campaign","HIPAA compliance required; no PHI in creative or targeting data. Do not reference unannounced roadmap items."
"Wellpath v2 - Lead Gen","Generate 4,215 MQLs at CPL under $94","Caregivers aged 40-65 of aging parents, APAC","See why leading teams choose OakClinic Network - book a 20-minute demo.","Email, Paid Search, Direct Mail, Display, PR","Per-channel budget missing","Jan 4, 2026 - 2 week flight","SQL conversion: baseline 2.0%, target 4.8%, over 30 days.","FDA fair-balance language required for any branded therapy mention. No competitor logos or comparison claims in paid creative."
"Cohort Hub 2027 - Event Reg Push","Move the needle on conversions this quarter","Working professionals aged 40-70 considering a career change, Japan","FutureStack Conference: where the industry connects.","digital","$47,000 (media only)","Apr 10, 2027 - 4 week flight","Registrations: target 14,374; show-up rate >= 55%; over 30 days.","FERPA-aligned data handling; no student PII in third-party platforms. Hero creative must feature flagship product, not bundled SKUs. Landing page must load under 2.5s on 4G."
"Beacon AI 2026 - Trial Conversion Push","Increase trial-to-paid conversion from 3% to 8%","DevOps leads at Series B-D startups in Canada","Your trial ends soon. Unlock the full Forge Platform experience.","performance marketing","Not specified","post-launch window","Trial-to-paid conversion: baseline 2.5%, target 12.3%, within 90 days post-launch.","Do not reference unannounced roadmap items."
"Vaulted Spring - Renewal Drive","Achieve 87% gross renewal rate","Gig workers aged 50-44 in Benelux tier-1 cities","Don't lose access - renew before Jun 2.","Email, Paid Social (Meta), Influencer, Paid Search, In-app","$250,000 excl. production","Aug 21, 2026 - 6 week flight","Gross renewal rate: baseline 81.5%, target 89.4%, by end of quarter.","All claims must be reviewed by Compliance and Legal before publication. CEO and executive quotes require Comms approval."
"RetailNext World - App Adoption","Grow the business in the target segment","existing users","Get more done on the go - download the app.","social and email","To be confirmed by CMO","Sep 9, 2026 - 6 week flight","Hit 5,925 sign-ups","Follow brand guidelines."
"SafeHarbor Insurance - Cross-sell Drive","Cross-sell 40,264 eligible customers","Auto policyholders approaching renewal, aged 18-64, Brazil","Bundle and save - smarter together.","Display, Direct Mail, Paid Search, Email, Radio","To be confirmed by CMO","Jul 10, 2026 - 6 week flight","Baseline 1.1%, improve over time","No guaranteed-acceptance language without policy substantiation. Localization required for non-English markets; transcreation, not direct translation."
"FitFuel - Retention Sprint #2","Grow the business in the target segment","our customer base","Here's what's new, just for you.","paid media","TBD","Nov 25, 2026 - 4 week flight","Monthly churn: baseline 1.3%, target 0.8%, over 60 days.","Maintain accessibility: WCAG 2.1 AA for all digital assets. Video assets capped at 15s for social, 30s for CTV."
"Glide Cruises EU - Launch","Acquire 487,167 new users within the launch window","Business travelers aged 30-55, Benelux (EU coverage)","Meet TerraNomad: everything you loved, reimagined.","Paid Social (Meta), Influencer","Pending finance approval","Mar 10, 2026 - 6 week flight","Adoption rate: baseline 1.9%, target 10.4%, measured over 30 days.","Avoid stacking with seasonal sale; cap combined discount at agreed max."
"TerraNomad MENA - Seasonal Promo #2","Lift conversion rate by 15% vs. prior season baseline","small business owners","Our biggest Black Friday event yet.","Connected TV, Paid Social (Meta), Email","$160,000 (media only)","post-launch window","Incremental revenue: target $366,817, ROAS >= 3.0, by end of quarter.","Suppress recently booked travelers to avoid post-purchase regret refunds. Hero creative must feature flagship product, not bundled SKUs."
"VaultIQ Q1 2026 - Lead Gen","Generate 10,915 MQLs at CPL under $154","Marketing operations managers at B2B SaaS companies, India","Find out what Forge Platform can do for your business.","Paid Social (LinkedIn), Content Syndication, Account-Based Marketing","$130,000 excl. production","Feb 10, 2026 - 6 week flight","MQLs: target 8,785, CPL <= $229, measured over the campaign flight.","Video assets capped at 15s for social, 30s for CTV."
"GlideFi Q2 2026 - Retention Sprint","Improve 90-day retention by 6 percentage points","First-time investors aged 25-40 in Canada (EU coverage)","Here's what's new, just for you.","Influencer, In-app","Not specified","Oct 14, 2026 - 3 week flight","Monthly churn: baseline 1.7%, target 1.0%, over the campaign flight.","No misleading earnings or returns language. DACH market: double opt-in for email; no purchased lists. All copy must use inclusive language per brand DEI guidelines."
"Lumio Wallet - Event Reg Push","Register 1,419 attendees","First-time investors aged 25-40 in Brazil","Save your seat at NorthExpo.","Email, Paid Search, Push Notifications, Influencer, In-app","$94,000 (media only)","Apr 20, 2026 - 10 week flight","Registrations: target 14,067; show-up rate >= 53%; over the campaign flight.","No misleading earnings or returns language. Use approved product photography only; lifestyle imagery requires brand review."
"MarketRise v6 - Win-Back","Increase engagement and pipeline","VIP tier customers (top 10% LTV), Japan","We've missed you - here's 25% off your next order.","Display, SMS","Limited budget","Jan 11, 2027 - 4 week flight","Lift engagement","Adhere to brand voice guidelines v3.2; primary palette only."
"PageNest v7 - Retention Sprint","Reduce monthly churn from 5.1% to 3.5%","Annual plan subscribers approaching renewal, Benelux","Stay with us and get more of what you love.","Push Notifications, Influencer, Email, In-app","$74,000 total","Jan 23, 2027 - 2 week flight","Monthly churn: baseline 2.8%, target 1.7%, over the campaign flight.","Subject lines under 50 characters; no emojis in B2B sends."
"NorthExpo v6 - Event Reg Push #2","Hit 27% RSVP-to-attend conversion","Past attendees of last 2 editions, APAC","InsureCon: where the industry connects.","PR, Paid Social (LinkedIn)","$150,000","rolling","Hit 9,080 sign-ups","Localization required for non-English markets; transcreation, not direct translation."
"EmberKitchen v7 - Cross-sell Drive","Cross-sell 1,786 eligible customers","Gen Z shoppers aged 18-26 in UK metros (EU coverage)","One account, more value.","Connected TV, Email, Paid Social (Meta), SMS, Display","$295,000","Sep 2, 2027 - 2 week flight","Attach rate: baseline 1.4%, target 2.6%, over 30 days.","Mobile-first creative required; desktop is secondary."
"MediBridge - Renewal Drive","Achieve 86% gross renewal rate","Adults aged 25-64 with chronic condition flags, France","Renew today and lock in your current rate.","Display, Paid Search, Direct Mail, PR","$430,000","Jan 10, 2026 - 6 week flight","Gross renewal rate: baseline 81.9%, target 86.8%, over 60 days.","All medical claims must be reviewed by Medical Legal Review (MLR) before launch. EU audiences: GDPR consent required; honor cookie banner state and DSAR within 30 days. Video assets capped at 15s for social, 30s for CTV."
"Apex Legal 2026 - Lead Gen","Deliver 2,060 SQLs to the sales team","digital-first audience","Find out what Northbeam Consulting can do for your business.","paid media","TBD","soon","Lift engagement","Do not reference unannounced roadmap items."
"Helix Advisory Q2 2026 - Launch","Generate 2,499 qualified sign-ups in the first 60 days","General Counsel and CFOs at mid-market firms, Brazil (EU coverage)","Quanta Strategy is here. Get ahead from day one.","Content Syndication, Paid Social (LinkedIn), Webinar, PR, Email","$120,000","Nov 2, 2027 - 6 week flight","New sign-ups: target 9,210 over 60 days; CPA <= $266.","Do not reference unannounced roadmap items."
"Lumen API - Trial Conversion Push","Convert 935 active trial users to paid plans","enterprise customers","Your trial ends soon. Unlock the full Quanta Reports experience.","Webinar, Paid Search","$140,000","by end of fiscal year","Baseline 4.0%, improve over time",""
"Forge Accounting 2026 - Event Reg Push","Hit 9% RSVP-to-attend conversion","Founders of pre-Series A startups, Australia","Save your seat at RetailNext World.","Paid Social (LinkedIn), Webinar, Content Syndication, PR","$94,000","Jun 13, 2027 - 3 week flight","Registrations: target 13,894; show-up rate >= 67%; within 90 days post-launch.","Maintain accessibility: WCAG 2.1 AA for all digital assets."
"VivaHealth v3 - Loyalty Boost","Increase loyalty program enrollment by 6%","Caregivers aged 40-65 of aging parents, Australia (EU coverage)","Status, perks, and points - on us.","social and email","$125,000","Jul 6, 2026 - 2 week flight","Program enrollment: target +3.0% vs. baseline, over 60 days.","HIPAA compliance required; no PHI in creative or targeting data. DACH market: double opt-in for email; no purchased lists. Adhere to brand voice guidelines v3.2; primary palette only. No animated GIFs in email; static hero only."
"EmberKitchen Fall - Renewal Drive","Achieve 86% gross renewal rate","Repeat customers with 3+ purchases in last 12 months, Nordics (EU coverage)","Renew today and lock in your current rate.","Email, Connected TV, SMS, Influencer","$225,000","May 26, 2026 - 2 week flight","Gross renewal rate: baseline 81.9%, target 87.4%, within 90 days post-launch.","DACH market: double opt-in for email; no purchased lists. Avoid overlap with concurrent storewide promo; suppress full-price loyalists from discount creative. Mobile-first creative required; desktop is secondary."
"MediBridge Q3 2027 - Retention Sprint","Reduce monthly churn from 5.0% to 3.7%","Caregivers aged 40-65 of aging parents, US (EU coverage)","Here's what's new, just for you.","PR, Email, Paid Search, Direct Mail, Display","$170,000","Nov 12, 2026 - 2 week flight","Monthly churn: baseline 1.3%, target 0.8%, by end of quarter.","HIPAA compliance required; no PHI in creative or targeting data. EU audiences: GDPR consent required; honor cookie banner state and DSAR within 30 days. Do not reference unannounced roadmap items. Video assets capped at 15s for social, 30s for CTV."
"Voyage&Co v8 - Win-Back","Win back 18,704 lapsed customers","Business travelers aged 30-55, Nordics (EU coverage)","We've missed you - here's 25% off your next order.","paid media","TBD","Aug 26, 2027 - 12 week flight","Improve CTR vs. last campaign","DACH market: double opt-in for email; no purchased lists. Suppress recently booked travelers to avoid post-purchase regret refunds."
"LearnRise Academy v7 - Lead Gen","Generate 6,846 MQLs at CPL under $120","prospects in target markets","Get the playbook trusted by 500+ teams.","digital","Limited budget","soon","SQL conversion: baseline 2.5%, target 14.2%, over 30 days.","Title IV compliance review required for any financial-aid messaging. Hero creative must feature flagship product, not bundled SKUs. Subject lines under 50 characters; no emojis in B2B sends."
"Sterling Federal NA - Launch","Drive 12% adoption of the new release among current customers","prospects in target markets","Meet BlueCrest Bank: everything you loved, reimagined.","Programmatic, Paid Search","TBD","by end of fiscal year","Adoption rate: baseline 1.8%, target 11.1%, measured over 60 days.","All offers must include APR/APY disclosures and FDIC member language. DACH market: double opt-in for email; no purchased lists."
"Apex Tutoring Tax Season - Trial Conversion Push","Convert 2,837 active trial users to paid plans","High school juniors and parents in Germany (EU coverage)","Don't lose what you've built - upgrade today and keep your momentum.","performance marketing","Per-channel budget missing","Jul 9, 2027 - 12 week flight","Baseline 3.3%, improve over time","Title IV compliance review required for any financial-aid messaging. DACH market: double opt-in for email; no purchased lists. Do not reference unannounced roadmap items."
"VivaHealth 2026 - Seasonal Promo","Support the broader GTM motion","Patients overdue for annual wellness visit, Mexico (EU coverage)","Limited time: save big this Winter.","paid media","Use available Q-end funds","Aug 2, 2026 - 4 week flight","Incremental revenue: target $372,727, ROAS >= 3.9, by end of quarter.","FDA fair-balance language required for any branded therapy mention. DACH market: double opt-in for email; no purchased lists. CEO and executive quotes require Comms approval. Landing page must load under 2.5s on 4G."
"GlowCrate 2026 - Win-Back","Reactivate 56% of customers dormant for 6+ months","Subscribers paused in last 90 days, US","A lot has changed. Come back and see what's new.","Influencer, Paid Social (Meta)","$84,000 total","Oct 8, 2027 - 4 week flight","Reactivation rate: baseline 2.6%, target 19.6%, within 90 days post-launch.","Do not reference unannounced roadmap items. Mobile-first creative required; desktop is secondary."
"BrightArc University Q4 2026 - App Adoption","Move the needle on conversions this quarter","High school juniors and parents in Canada","Faster, easier, in-app exclusive perks.","Paid Search, Webinar","$165,000","Apr 27, 2026 - 10 week flight","Lift engagement","FERPA-aligned data handling; no student PII in third-party platforms."
"Helix Advisory 2026 - Loyalty Boost","Increase loyalty program enrollment by 11%","digital-first audience","Members earn more. Join today.","Email, PR, Paid Social (LinkedIn), Webinar, Content Syndication","$99,000 excl. production","rolling","Program enrollment: target +4.4% vs. baseline, by end of quarter.","Coordinate with concurrent acquisition offers to avoid loyalty member dilution. CEO and executive quotes require Comms approval."
"Coastline Apparel - Trial Conversion Push","Increase trial-to-paid conversion from 7% to 12%","premium segment","Your trial ends soon. Unlock the full Halcyon Beauty experience.","SMS, Connected TV","$41,000 total","Sep 13, 2027 - 12 week flight","Trial-to-paid conversion: baseline 1.6%, target 4.8%, over 30 days.","Avoid overlap with concurrent storewide promo; suppress full-price loyalists from discount creative. Hero creative must feature flagship product, not bundled SKUs. No animated GIFs in email; static hero only."
"GrowthSummit ANZ - Awareness","Reach 6,181,542 unique impressions in target segment","Past attendees of last 2 editions, Germany (EU coverage)","DevForge Live: built for what's next.","performance marketing","$150,000 excl. production","Apr 19, 2027 - 4 week flight","Reduce CPA","No animated GIFs in email; static hero only."
"Anchor National v8 - Awareness","Grow the business in the target segment","Existing checking customers without a credit product, Singapore","The brand professionals trust.","online","$535,000","Aug 20, 2026 - 2 week flight","ROAS target 5.6","Reg Z and UDAAP review required prior to launch. UK/EU: lawful basis must be documented; suppress contacts without marketing consent."
"FutureStack Conference US - Event Reg Push","Hit 22% RSVP-to-attend conversion","Speakers, sponsors, and partner network contacts, UK","Register now - early bird pricing ends soon.","performance marketing","$19,500","Mar 10, 2027 - 2 week flight","Registrations: target 11,068; show-up rate >= 58%; over 30 days.","Adhere to brand voice guidelines v3.2; primary palette only. Video assets capped at 15s for social, 30s for CTV."
"EmberKitchen v6 - Lead Gen","Generate 8,166 MQLs at CPL under $68","Gen Z shoppers aged 18-26 in EMEA metros","Find out what Lumen Home can do for your business.","digital","Not specified","Sep 7, 2027 - 8 week flight","Improve CTR vs. last campaign","No major restrictions noted."
"AzureTrails Nordics - Upsell Wave","Upsell 5,367 customers to a higher tier","Business travelers aged 30-55, Brazil","You're getting more from Wayfare than ever - here's how to get even more.","social and email","$255,000 excl. production","May 12, 2026 - 3 week flight","ARPU lift: baseline $161, target +17.8%, by end of quarter.","Suppress recently booked travelers to avoid post-purchase regret refunds. Hero creative must feature flagship product, not bundled SKUs. Video assets capped at 15s for social, 30s for CTV."
"PageNest - Cross-sell Drive","Increase engagement and pipeline","lapsed buyers","Bundle and save - smarter together.","Paid Social (Meta), In-app, Influencer","Per-channel budget missing","May 15, 2026 - 6 week flight","Baseline 2.9%, improve over time","Maintain accessibility: WCAG 2.1 AA for all digital assets. Mobile-first creative required; desktop is secondary."
"Nimbus Mobile NA - Cross-sell Drive","Cross-sell 6,037 eligible customers","Prepaid customers aged 25-44 with 6+ months tenure, EMEA","One account, more value.","social and email","$98,000","Aug 15, 2026 - 4 week flight","Attach rate: baseline 1.4%, target 3.1%, within 90 days post-launch.","Do not reference unannounced roadmap items."
"GrowthSummit 2026 - Event Reg Push #2","Build awareness and momentum","Speakers, sponsors, and partner network contacts, Canada","FutureStack Conference: where the industry connects.","social and email","Limited budget","Jun 10, 2027 - 10 week flight","Conversion rate target 6.3%","CEO and executive quotes require Comms approval."
"Truecover Cyber Monday - Lead Gen","Support the broader GTM motion","Small business owners without cyber liability, Canada","See why leading teams choose SafeHarbor Insurance - book a 20-minute demo.","Display, Paid Search, Radio, Email","$510,000","Jul 17, 2027 - 12 week flight","MQLs: target 6,402, CPL <= $317, measured within 90 days post-launch.","No major restrictions noted."
"Skyloft Hotels Fall - Win-Back","Win back 15,622 lapsed customers","Loyalty members with 1+ booking in last 24 months, France","A lot has changed. Come back and see what's new.","social","$85,000","Jan 28, 2026 - 12 week flight","Reactivation rate: baseline 2.8%, target 6.5%, within 90 days post-launch.","Suppress recently booked travelers to avoid post-purchase regret refunds. Adhere to brand voice guidelines v3.2; primary palette only. Subject lines under 50 characters; no emojis in B2B sends."
"Lumen Home 2026 - Loyalty Boost","Lift repeat purchase rate from 5% to 7%","Gen Z shoppers aged 18-26 in Nordics metros","Status, perks, and points - on us.","Connected TV, SMS","$305,000 total","Apr 24, 2026 - 8 week flight","Program enrollment: target +4.1% vs. baseline, over 60 days.","All copy must use inclusive language per brand DEI guidelines. Mobile-first creative required; desktop is secondary."
"BrightArc University Open Enrollment - Lead Gen","Generate 14,458 MQLs at CPL under $147","premium segment","Get the playbook trusted by 500+ teams.","Email, Webinar, Paid Social (Meta), Paid Search","Limited budget","Mar 2, 2026 - 4 week flight","MQLs: target 5,931, CPL <= $150, measured by end of quarter.","FERPA-aligned data handling; no student PII in third-party platforms. EU audiences: GDPR consent required; honor cookie banner state and DSAR within 30 days. Maintain accessibility: WCAG 2.1 AA for all digital assets. Video assets capped at 15s for social, 30s for CTV."
"Northbeam Consulting v2 - Renewal Drive","Drive more revenue from this audience","Founders of pre-Series A startups, UK","Don't lose access - renew before Mar 28.","email and ads","Not specified","Jul 27, 2027 - 8 week flight","ROAS target 4.6","No competitor logos or comparison claims in paid creative."
"Quanta Strategy Q2 2026 - App Adoption","Drive 172,050 new app installs","General Counsel and CFOs at mid-market firms, Brazil","Get more done on the go - download the app.","Content Syndication, Email, Webinar","Limited budget","May 1, 2026 - 3 week flight","Installs: target 231,413; D7 retention >= 44%; over 30 days.","CEO and executive quotes require Comms approval."
"Northstar Mutual - Cross-sell Drive","Attach a second product to 13% of single-product customers","Homeowners aged 35-65 without umbrella coverage, India","One account, more value.","digital","Use available Q-end funds","Aug 12, 2026 - 3 week flight","Hit 2,412 sign-ups","No guaranteed-acceptance language without policy substantiation. Tone: confident, helpful, never alarmist."
"ScholarPath LATAM - Lead Gen","Deliver 2,600 SQLs to the sales team","High school juniors and parents in Brazil","Get the playbook trusted by 500+ teams.","Paid Social (Meta), Paid Search, Webinar, Email","$105,000 (media only)","Aug 2, 2026 - 10 week flight","Improve CTR vs. last campaign","Title IV compliance review required for any financial-aid messaging. Localization required for non-English markets; transcreation, not direct translation. Video assets capped at 15s for social, 30s for CTV."
"Northstar Mutual - Awareness","Reach 4,347,594 unique impressions in target segment","Auto policyholders approaching renewal, aged 40-54, Canada","AssureFirst: built for what's next.","Display, Direct Mail","$730,000 incl. agency fees","Oct 3, 2026 - 12 week flight","Aided awareness lift: baseline 29%, target +6 pts, over the campaign flight.","State-specific disclosures required; suppress non-licensed states. UK/EU: lawful basis must be documented; suppress contacts without marketing consent."
"Insight Cloud 2027 - Renewal Drive","Renew 11,278 expiring contracts this cycle","existing users","Stay covered. Stay supported.","paid media","$48,000 (media only)","Jan 19, 2027 - 2 week flight","Gross renewal rate: baseline 82.7%, target 88.4%, over the campaign flight.","EU audiences: GDPR consent required; honor cookie banner state and DSAR within 30 days. Adhere to brand voice guidelines v3.2; primary palette only. Landing page must load under 2.5s on 4G."
"Orbit Connect v9 - Cross-sell Drive","Attach a second product to 12% of single-product customers","lapsed buyers","Bundle and save - smarter together.","Direct Mail, Paid Search, OOH","$535,000","Oct 2, 2026 - 3 week flight","Attach rate: baseline 2.8%, target 10.2%, over 30 days.","Adhere to brand voice guidelines v3.2; primary palette only. Mobile-first creative required; desktop is secondary."
